,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
199,CBRE.N,547132000.0,,2014-12-31,2023-05-12T00:00:00Z,75.9783922327002,100.0,,,,,,,,,,,,65259.0,,73.5343443847899,81.4606741573034,70.0,67.8571428571429,7.21100456379826,744048.0,75.0,10.0,92.3217550274223,61.4636642784033,86.5404298874104,100.0,10.0,,25.6756756756757,95.578231292517,62.9032258064516,95.1724137931034,,,35.0,,78.4313725490196,,
200,CBRE.N,573079000.0,,2015-12-31,2022-08-11T00:00:00Z,82.9076082064364,100.0,,,,,,,,,,,74.1379310344828,64877.0,,74.5747848210902,84.1836734693878,71.1538461538462,67.1428571428571,5.97624682082682,765425.0,75.0,9.09090909090909,89.0065146579804,81.8933823529412,84.0379901960784,100.0,11.0,973.303696361672,77.8409090909091,96.5408805031446,54.1666666666667,99.0566037735849,,,30.7,,76.123595505618,,
201,CBRE.N,697109000.0,,2016-12-31,2024-01-19T00:00:00Z,88.766905139889,100.0,,,,,,,,,,,70.6896551724138,93092.0,,81.9716905901116,89.9122807017544,69.3181818181818,82.0833333333333,5.35963044273776,1223752.0,80.0,20.0,90.0907715582451,96.1817406143345,97.3762798634812,100.0,10.0,535.171005903124,78.3783783783784,85.2601156069364,88.6792452830189,97.3988439306358,,,33.63,,70.3125,,
202,CBRE.N,1063219000.0,,2017-12-31,2024-01-19T00:00:00Z,89.2075361739566,100.0,,,,,,,,,,,68.75,71067.0,,82.6223491534694,89.3835616438356,70.7964601769911,83.2236842105263,3.8149021726428,930312.0,80.0,25.0,88.6986301369863,87.9292582417583,99.2616758241758,100.0,12.0,583.757117411885,84.4936708860759,93.1111111111111,97.3118279569892,98.0,31.41,82.65,33.63,,66.6666666666667,556160.0,6.952
203,CBRE.N,1282357000.0,,2018-12-31,2023-03-29T00:00:00Z,92.2925414938918,100.0,,,,,,,,,,,69.53125,70508.0,,87.1635095559731,88.0952380952381,98.3333333333333,79.1237113402062,3.30401636581817,938758.0,90.0,27.2727272727273,94.9941792782305,97.55,98.3166666666667,100.0,11.0,606.398202294199,85.1485148514851,89.0804597701149,96.6417910447761,97.8927203065134,32.8,81.38,33.7,,63.2183908045977,594000.0,6.6
204,CBRE.N,751989000.0,,2019-12-31,2023-09-01T00:00:00Z,89.882728457571,100.0,,,,,,,,12576.3841490344,15662.0,,0.53763440860215,86790.0,,84.9437585894553,78.4584980237154,98.1770833333333,83.0078125,3.63227879227546,1245350.0,75.0,27.2727272727273,95.183887915937,97.467346288627,96.8620579802485,100.0,11.0,594.687029525417,74.6323529411765,82.601880877743,95.1351351351351,97.6489028213166,33.1,85.33,33.6,,60.0313479623824,800000.0,8.0
205,CBRE.N,1836574000.0,,2020-12-31,2024-09-12T00:00:00Z,86.2357021099501,100.0,,,,,,,,17651.0033777071,21321.0,,1.32743362831859,83023.0,,83.9421486538502,76.2295081967213,98.0769230769231,82.6599326599327,3.48452616962129,1207920.0,75.0,25.0,95.2874331550802,87.6511487303507,96.8712212817412,100.0,12.0,827.405047259959,70.3761755485893,77.7027027027027,94.0265486725664,96.0810810810811,32.2,84.52,33.2,,58.3783783783784,990000.0,9.9
206,CBRE.N,1407370000.0,,2021-12-31,2024-09-11T00:00:00Z,85.2247895096275,100.0,,,,,,,,21166.2849012623,20976.0,,2.34899328859061,66098.0,,81.1366867378088,72.3433242506812,96.9534050179211,80.1351351351351,2.38225329777265,991010.0,75.0,30.0,95.0448075909331,94.6402773764808,99.0031782721757,100.0,10.0,,65.7407407407407,72.8409090909091,93.0976430976431,88.9772727272727,32.9,85.32,33.5,,56.9318181818182,945000.0,9.0
207,CBRE.N,986000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,CINF.OQ,525000000.0,,2013-12-31,2022-08-17T00:00:00Z,46.1075685248476,100.0,,,,,,,,,,,,38744.5,,33.178438117933,33.0097087378641,0.0,37.2448979591837,,,92.0,12.5,40.884476534296,92.5793244626407,50.7164790174002,83.73,16.0,,32.3529411764706,39.261744966443,0.0,30.7432432432432,,,,,60.8552631578947,,
209,CINF.OQ,634000000.0,,2014-12-31,2023-05-12T00:00:00Z,45.6248280551298,100.0,,,,,,,,,,,,41215.0,,60.4937022042285,43.0555555555556,8.03571428571429,61.0576923076923,,,91.0,13.3333333333333,39.0310786106033,93.2958034800409,20.2149437052201,83.05,15.0,,35.0393700787402,14.8026315789474,0.0,57.8947368421053,,,,,59.0909090909091,,
210,CINF.OQ,591000000.0,,2015-12-31,2022-08-11T00:00:00Z,50.4662484461169,100.0,,,,,,,,,,,,42930.9,,59.8372758574431,39.5454545454545,4.31034482758621,57.0093457943925,,,100.0,13.3333333333333,40.4723127035831,98.9889705882353,10.6924019607843,83.89,15.0,,37.7483443708609,23.0994152046784,0.0,80.4093567251462,,,,,57.8488372093023,,
211,CINF.OQ,1045000000.0,,2016-12-31,2024-01-19T00:00:00Z,49.5734286289844,100.0,,,,,,,,,,,,34171.0,,62.604800540906,54.0441176470588,3.07692307692308,52.0833333333333,6.27105890989172,,92.0,13.3333333333333,39.7881996974281,82.8711604095563,14.4837883959044,85.814,15.0,,38.031914893617,40.64039408867,0.0,83.2512315270936,,,48.0,,58.578431372549,,
